experiment,snr_db,bler,num_processes,soft_combining,throughput_mbps,average_latency_slots,success_rate,retransmission_rate
snr_sweep,-2.00,0.9963,4,0,0.001238,3.8466,0.0992,2.8466
snr_sweep,-2.00,0.9963,4,1,0.007118,3.5201,0.5220,2.5201
snr_sweep,2.00,0.9168,4,0,0.008013,3.1061,0.5185,2.1061
snr_sweep,2.00,0.9168,4,1,0.016332,2.6183,0.8909,1.6183
snr_sweep,6.00,0.3100,4,0,0.021476,2.0326,0.9094,1.0326
snr_sweep,6.00,0.3100,4,1,0.026357,1.8026,0.9898,0.8026
snr_sweep,10.00,0.0180,4,0,0.034059,1.3982,0.9921,0.3982
snr_sweep,10.00,0.0180,4,1,0.035576,1.3487,0.9996,0.3487
snr_sweep,14.00,0.0007,4,0,0.041739,1.1493,0.9994,0.1493
snr_sweep,14.00,0.0007,4,1,0.042190,1.1377,1.0000,0.1377
bler_sweep,5.00,0.0500,4,0,0.045015,1.0663,1.0000,0.0663
bler_sweep,5.00,0.0500,4,1,0.045070,1.0650,1.0000,0.0650
bler_sweep,5.00,0.1500,4,0,0.038913,1.2308,0.9978,0.2308
bler_sweep,5.00,0.1500,4,1,0.039483,1.2156,0.9999,0.2156
bler_sweep,5.00,0.3000,4,0,0.029845,1.5779,0.9811,0.5779
bler_sweep,5.00,0.3000,4,1,0.032131,1.4891,0.9968,0.4891
bler_sweep,5.00,0.5000,4,0,0.017865,2.2773,0.8476,1.2773
bler_sweep,5.00,0.5000,4,1,0.023544,1.9967,0.9794,0.9967
bler_sweep,5.00,0.7000,4,0,0.013924,2.5661,0.7444,1.5661
bler_sweep,5.00,0.7000,4,1,0.021081,2.1900,0.9618,1.1900
process_sweep,6.00,0.3100,1,0,0.005337,2.0309,0.9032,1.0309
process_sweep,6.00,0.3100,1,1,0.006660,1.7855,0.9910,0.7855
process_sweep,6.00,0.3100,2,0,0.010685,2.0404,0.9084,1.0404
process_sweep,6.00,0.3100,2,1,0.013353,1.7832,0.9921,0.7832
process_sweep,6.00,0.3100,4,0,0.021447,2.0284,0.9063,1.0284
process_sweep,6.00,0.3100,4,1,0.026357,1.8015,0.9892,0.8015
process_sweep,6.00,0.3100,8,0,0.042977,2.0298,0.9087,1.0298
process_sweep,6.00,0.3100,8,1,0.053370,1.7858,0.9928,0.7858
process_sweep,6.00,0.3100,16,0,0.085406,2.0370,0.9061,1.0370
process_sweep,6.00,0.3100,16,1,0.106220,1.7875,0.9889,0.7875
